id.f2 	 id.f2.ma 	 id.f2.fa 	 fa.h 	 ma.h 	 ma.l 	 fa.l 
951	212	271	1736	1897	2064	1926
952	212	271	1736	1897	2064	1926
953	212	271	1736	1897	2064	1926
954	212	271	1736	1897	2064	1926
956	171	290	1740	1879	1972	2089
957	171	290	1740	1879	1972	2089
958	171	290	1740	1879	1972	2089
959	171	290	1740	1879	1972	2089
960	171	290	1740	1879	1972	2089
961	171	290	1740	1879	1972	2089
962	171	290	1740	1879	1972	2089
963	171	290	1740	1879	1972	2089
964	171	290	1740	1879	1972	2089
965	171	290	1740	1879	1972	2089
966	171	290	1740	1879	1972	2089
967	171	290	1740	1879	1972	2089
968	204	290	1740	1674	2064	2089
969	204	290	1740	1674	2064	2089
970	204	290	1740	1674	2064	2089
972	204	290	1740	1674	2064	2089
973	204	290	1740	1674	2064	2089
974	204	290	1740	1674	2064	2089
975	204	290	1740	1674	2064	2089
976	204	290	1740	1674	2064	2089
977	204	290	1740	1674	2064	2089
978	204	290	1740	1674	2064	2089
979	204	290	1740	1674	2064	2089
980	204	290	1740	1674	2064	2089
981	204	290	1740	1674	2064	2089
982	206	290	1740	1674	2064	2089
983	206	290	1740	1674	2064	2089
984	206	290	1740	1674	2064	2089
985	206	290	1740	1674	2064	2089
986	206	290	1740	1674	2064	2089
987	206	290	1740	1674	2064	2089
988	206	290	1740	1674	2064	2089
989	206	290	1740	1674	2064	2089
990	206	290	1740	1674	2064	2089
991	206	290	1740	1674	2064	2089
992	206	290	1740	1674	2064	2089
993	207	290	1740	1833	2064	2089
994	207	290	1740	1833	2064	2089
995	207	290	1740	1833	2064	2089
996	207	290	1740	1833	2064	2089
997	207	290	1740	1833	2064	2089
998	207	290	1740	1833	2064	2089
999	207	290	1740	1833	2064	2089
1000	207	290	1740	1833	2064	2089
1001	207	290	1740	1833	2064	2089
1002	207	290	1740	1833	2064	2089
1003	207	290	1740	1833	2064	2089
1004	207	290	1740	1833	2064	2089
1005	207	290	1740	1833	2064	2089
1006	207	290	1740	1833	2064	2089
1007	207	290	1740	1833	2064	2089
1008	207	290	1740	1833	2064	2089
1009	207	290	1740	1833	2064	2089
1010	207	290	1740	1833	2064	2089
1012	195	290	1740	1815	2048	2089
1013	195	290	1740	1815	2048	2089
1014	195	290	1740	1815	2048	2089
1015	195	290	1740	1815	2048	2089
1016	195	290	1740	1815	2048	2089
1017	195	290	1740	1815	2048	2089
1018	195	290	1740	1815	2048	2089
1019	195	290	1740	1815	2048	2089
1020	195	290	1740	1815	2048	2089
1022	165	290	1740	1871	1959	2089
1023	165	290	1740	1871	1959	2089
1024	165	290	1740	1871	1959	2089
1025	165	290	1740	1871	1959	2089
1026	165	290	1740	1871	1959	2089
1027	165	290	1740	1871	1959	2089
1028	165	290	1740	1871	1959	2089
1029	165	290	1740	1871	1959	2089
1030	165	290	1740	1871	1959	2089
1031	165	290	1740	1871	1959	2089
1032	165	290	1740	1871	1959	2089
1033	165	290	1740	1871	1959	2089
1034	165	290	1740	1871	1959	2089
1035	153	290	1740	1757	1959	2089
1036	153	290	1740	1757	1959	2089
1037	153	290	1740	1757	1959	2089
1038	153	290	1740	1757	1959	2089
1039	153	290	1740	1757	1959	2089
1040	153	290	1740	1757	1959	2089
1041	153	290	1740	1757	1959	2089
1042	153	290	1740	1757	1959	2089
1043	153	290	1740	1757	1959	2089
1044	153	290	1740	1757	1959	2089
1045	153	290	1740	1757	1959	2089
1046	176	290	1740	1812	1997	2089
1047	176	290	1740	1812	1997	2089
1048	176	290	1740	1812	1997	2089
1049	176	290	1740	1812	1997	2089
1050	176	290	1740	1812	1997	2089
1051	176	290	1740	1812	1997	2089
1052	176	290	1740	1812	1997	2089
1053	176	290	1740	1812	1997	2089
1054	176	290	1740	1812	1997	2089
1055	176	290	1740	1812	1997	2089
1056	184	290	1740	1896	1997	2089
1057	184	290	1740	1896	1997	2089
1058	184	290	1740	1896	1997	2089
1059	184	290	1740	1896	1997	2089
1060	184	290	1740	1896	1997	2089
1061	184	290	1740	1896	1997	2089
1062	184	290	1740	1896	1997	2089
1063	184	290	1740	1896	1997	2089
1064	184	290	1740	1896	1997	2089
1065	184	290	1740	1896	1997	2089
1066	184	290	1740	1896	1997	2089
1067	184	290	1740	1896	1997	2089
1068	170	247	1655	1879	1972	1940
1069	170	247	1655	1879	1972	1940
1070	170	247	1655	1879	1972	1940
1071	170	247	1655	1879	1972	1940
1072	170	247	1655	1879	1972	1940
1073	170	247	1655	1879	1972	1940
1074	170	247	1655	1879	1972	1940
1075	170	247	1655	1879	1972	1940
1077	170	247	1655	1879	1972	1940
1078	143	247	1655	1720	1932	1940
1079	143	247	1655	1720	1932	1940
1080	143	247	1655	1720	1932	1940
1081	143	247	1655	1720	1932	1940
1082	143	247	1655	1720	1932	1940
1083	143	247	1655	1720	1932	1940
1084	143	247	1655	1720	1932	1940
1085	143	247	1655	1720	1932	1940
1087	143	247	1655	1720	1932	1940
1089	143	247	1655	1720	1932	1940
1090	143	247	1655	1720	1932	1940
1091	143	247	1655	1720	1932	1940
1092	143	247	1655	1720	1932	1940
1093	155	247	1655	1786	1959	1940
1094	155	247	1655	1786	1959	1940
1095	155	247	1655	1786	1959	1940
1096	155	247	1655	1786	1959	1940
1097	155	247	1655	1786	1959	1940
1098	155	247	1655	1786	1959	1940
1099	155	247	1655	1786	1959	1940
1101	155	247	1655	1786	1959	1940
1102	155	247	1655	1786	1959	1940
1103	155	247	1655	1786	1959	1940
1104	155	247	1655	1786	1959	1940
1105	155	247	1655	1786	1959	1940
1106	155	247	1655	1786	1959	1940
1107	209	247	1655	1833	2064	1940
1108	209	247	1655	1833	2064	1940
1109	209	247	1655	1833	2064	1940
1110	209	247	1655	1833	2064	1940
1111	209	247	1655	1833	2064	1940
1112	209	247	1655	1833	2064	1940
1113	209	247	1655	1833	2064	1940
1114	209	247	1655	1833	2064	1940
1115	209	247	1655	1833	2064	1940
1116	209	247	1655	1833	2064	1940
1117	209	247	1655	1833	2064	1940
1118	209	247	1655	1833	2064	1940
1119	209	247	1655	1833	2064	1940
1120	209	247	1655	1833	2064	1940
1121	209	247	1655	1833	2064	1940
1122	223	247	1655	1712	2130	1940
1123	223	247	1655	1712	2130	1940
1124	223	247	1655	1712	2130	1940
1125	223	247	1655	1712	2130	1940
1126	223	247	1655	1712	2130	1940
1127	223	247	1655	1712	2130	1940
1128	223	247	1655	1712	2130	1940
1129	223	247	1655	1712	2130	1940
1130	223	247	1655	1712	2130	1940
1131	223	247	1655	1712	2130	1940
1134	216	247	1655	1784	2104	1940
1138	216	247	1655	1784	2104	1940
1139	216	247	1655	1784	2104	1940
1140	216	247	1655	1784	2104	1940
1141	216	247	1655	1784	2104	1940
1142	216	247	1655	1784	2104	1940
1143	216	247	1655	1784	2104	1940
1144	216	247	1655	1784	2104	1940
1146	162	247	1655	1844	1959	1940
1147	162	247	1655	1844	1959	1940
1148	162	247	1655	1844	1959	1940
1149	162	247	1655	1844	1959	1940
1151	162	247	1655	1844	1959	1940
1152	162	247	1655	1844	1959	1940
1153	162	247	1655	1844	1959	1940
1154	162	247	1655	1844	1959	1940
1155	162	247	1655	1844	1959	1940
1156	162	247	1655	1844	1959	1940
1157	162	247	1655	1844	1959	1940
1159	198	247	1655	1815	2048	1940
1161	198	247	1655	1815	2048	1940
1162	198	247	1655	1815	2048	1940
1163	198	247	1655	1815	2048	1940
1164	198	247	1655	1815	2048	1940
1165	198	247	1655	1815	2048	1940
1166	198	247	1655	1815	2048	1940
1167	198	247	1655	1815	2048	1940
1168	198	247	1655	1815	2048	1940
1169	198	247	1655	1815	2048	1940
1170	198	247	1655	1815	2048	1940
1171	198	247	1655	1815	2048	1940
1172	198	247	1655	1815	2048	1940
1173	198	247	1655	1815	2048	1940
1174	226	247	1655	1728	2130	1940
1175	226	247	1655	1728	2130	1940
1176	226	247	1655	1728	2130	1940
1177	226	247	1655	1728	2130	1940
1178	226	247	1655	1728	2130	1940
1179	226	247	1655	1728	2130	1940
1180	226	247	1655	1728	2130	1940
1181	226	247	1655	1728	2130	1940
1182	226	247	1655	1728	2130	1940
1183	226	247	1655	1728	2130	1940
1184	226	247	1655	1728	2130	1940
1185	194	234	1653	1728	2130	1945
